text,label
Fire broke out in the old building near station road.,2
Accident on highway 48 near the flyover. Traffic blocked.,2
click here to win prize http://spam.com,0
There was a robbery near the main market at 10 PM. Two people were injured.,2
click here to win prize http://spam.com,0
click here to win prize http://spam.com,0
not sure but maybe danger,1
BUY NOW!!!! CHEAP!!!,0
Fire broke out in the old building near station road.,2
There was a robbery near the main market at 10 PM. Two people were injured.,2
click here to win prize http://spam.com,0
not sure but maybe danger,1
test test test,0
click here to win prize http://spam.com,0
There was a robbery near the main market at 10 PM. Two people were injured.,2
click here to win prize http://spam.com,0
Fire broke out in the old building near station road.,2
I think something bad happened maybe,1
There was a robbery near the main market at 10 PM. Two people were injured.,2
not sure but maybe danger,1
test test test,0
click here to win prize http://spam.com,0
not sure but maybe danger,1
Accident on highway 48 near the flyover. Traffic blocked.,2
click here to win prize http://spam.com,0
I think something bad happened maybe,1
click here to win prize http://spam.com,0
There was a robbery near the main market at 10 PM. Two people were injured.,2
Accident on highway 48 near the flyover. Traffic blocked.,2
test test test,0
not sure but maybe danger,1
Accident on highway 48 near the flyover. Traffic blocked.,2
There was a robbery near the main market at 10 PM. Two people were injured.,2
click here to win prize http://spam.com,0
Accident on highway 48 near the flyover. Traffic blocked.,2
test test test,0
test test test,0
I think something bad happened maybe,1
Fire broke out in the old building near station road.,2
There was a robbery near the main market at 10 PM. Two people were injured.,2
not sure but maybe danger,1
BUY NOW!!!! CHEAP!!!,0
BUY NOW!!!! CHEAP!!!,0
BUY NOW!!!! CHEAP!!!,0
BUY NOW!!!! CHEAP!!!,0
I think something bad happened maybe,1
Accident on highway 48 near the flyover. Traffic blocked.,2
Accident on highway 48 near the flyover. Traffic blocked.,2
BUY NOW!!!! CHEAP!!!,0
Fire broke out in the old building near station road.,2
BUY NOW!!!! CHEAP!!!,0
not sure but maybe danger,1
I think something bad happened maybe,1
BUY NOW!!!! CHEAP!!!,0
I think something bad happened maybe,1
click here to win prize http://spam.com,0
Accident on highway 48 near the flyover. Traffic blocked.,2
Accident on highway 48 near the flyover. Traffic blocked.,2
click here to win prize http://spam.com,0
Fire broke out in the old building near station road.,2
Accident on highway 48 near the flyover. Traffic blocked.,2
There was a robbery near the main market at 10 PM. Two people were injured.,2
There was a robbery near the main market at 10 PM. Two people were injured.,2
click here to win prize http://spam.com,0
test test test,0
BUY NOW!!!! CHEAP!!!,0
I think something bad happened maybe,1
Accident on highway 48 near the flyover. Traffic blocked.,2
I think something bad happened maybe,1
BUY NOW!!!! CHEAP!!!,0
I think something bad happened maybe,1
Fire broke out in the old building near station road.,2
test test test,0
click here to win prize http://spam.com,0
I think something bad happened maybe,1
There was a robbery near the main market at 10 PM. Two people were injured.,2
Fire broke out in the old building near station road.,2
not sure but maybe danger,1
Fire broke out in the old building near station road.,2
Accident on highway 48 near the flyover. Traffic blocked.,2
click here to win prize http://spam.com,0
click here to win prize http://spam.com,0
Accident on highway 48 near the flyover. Traffic blocked.,2
Accident on highway 48 near the flyover. Traffic blocked.,2
Accident on highway 48 near the flyover. Traffic blocked.,2
click here to win prize http://spam.com,0
Fire broke out in the old building near station road.,2
not sure but maybe danger,1
click here to win prize http://spam.com,0
click here to win prize http://spam.com,0
